_id	AnnoS	AteneoCOD	AteneoNOME	ClasseNUMERO	CorsoNOME	SedeC	SedeP	Sesso	Lau
6860	2020	5807	Roma Tre	L-10	Lettere	ROMA	58	F	53
6861	2020	6601	L'Aquila	L-13	Scienze Biologiche	L'AQUILA	66	F	53
6862	2020	6501	Salerno	LM-56	Economia	FISCIANO	65	M	53
6863	2020	6901	Chieti e Pescara	L-33	Economia e Commercio 	PESCARA	68	F	53
6864	2020	6302	Napoli Parthenope	LMG/01	Giurisprudenza	NAPOLI	63	M	53
6865	2020	6303	Napoli L'Orientale	LM-36	Lingue e Civilta' Orientali	NAPOLI	63	F	53
6866	2020	6303	Napoli L'Orientale	LM-37	Letterature e Culture Comparate	NAPOLI	63	F	53
6867	2020	7801	Calabria	LM-13	Chimica e Tecnologia Farmaceutiche	RENDE	78	F	53
6868	2020	8301	Messina	L-19	Scienze della Formazione e della Comunicazione	NOTO	89	F	53
6869	2020	8001	Reggio Calabria	LM-04cu	Architettura	REGGIO DI CALABRIA	80	F	53
6870	2021	101	Torino	L-33	Economia e Statistica per le Organizzazioni	TORINO	1	M	53
6871	2021	101	Torino	L-42	Storia	TORINO	1	M	53
6872	2021	101	Torino	L-05	Filosofia	TORINO	1	M	53
6873	2021	1301	Novedrate e-Campus - telematica	L-13	Scienze Biologiche	NOVEDRATE	13	M	53
6874	2021	1501	Milano	LM-59	Comunicazione Pubblica e d'Impresa	MILANO	15	M	53
6875	2021	1601	Bergamo	LM-77	International Management, Entrepreneurship And Finance	BERGAMO	16	M	53
6876	2021	1510	Rozzano (MI) Humanitas University	LM-41	Medicina e Chirurgia	ROZZANO	15	F	53
6877	2021	1504	Milano Cattolica	LM-87	Lavoro Sociale e Servizi per le Famiglie, i Minori e le Comunità	MILANO	15	F	53
6878	2021	2201	Trento	L-25	Viticoltura ed Enologia	SAN MICHELE ALL'ADIGE	22	M	53
6879	2021	2801	Padova	L-03	Discipline delle Arti, della Musica e dello Spettacolo	PADOVA	28	F	53
6880	2021	2701	Venezia Cà Foscari	L-05	Philosophy, International And Economic Studies	VENEZIA	27	F	53
6881	2021	3001	Udine	L-25	Viticoltura ed Enologia	UDINE	30	M	53
6882	2021	3001	Udine	LM-94	Traduzione e Mediazione Culturale	UDINE	30	F	53
6883	2021	3001	Udine	L-31	Informatica	UDINE	30	M	52
6884	2021	2801	Padova	LM-21	Bioingegneria	PADOVA	28	M	52
6885	2021	3001	Udine	L/SNT2	Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale)	UDINE	30	F	52
6886	2021	2801	Padova	LM-67	Scienze e Tecniche dell'Attività Motoria Preventiva e Adattata	PADOVA	28	F	52
6887	2021	2301	Verona	L-20	Scienze della Comunicazione	VERONA	23	M	52
6888	2021	2301	Verona	L-18	Economia Aziendale	VICENZA	24	F	52
6889	2021	2801	Padova	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	MONSELICE	28	F	52
6890	2021	1508	Milano San Raffaele	LM-09	Biotechnology And Medical Biology	MILANO	15	F	52
6891	2021	1504	Milano Cattolica	LM-77	Innovation And Technology Management	MILANO	15	M	52
6892	2021	1504	Milano Cattolica	LM-77	Direzione e Consulenza Aziendale	MILANO	15	M	52
6893	2021	1601	Bergamo	L-09	Ingegneria delle Tecnologie per la Salute	DALMINE	16	F	52
6894	2021	1502	Milano Politecnico	L-08	Ingegneria Fisica	MILANO	15	M	52
6895	2021	1502	Milano Politecnico	LM-30	Nuclear Engineering - Ingegneria Nucleare	MILANO	15	M	52
6896	2021	1502	Milano Politecnico	LM-04	Sustainable Architecture And Landscape Design	PIACENZA	33	F	52
6897	2021	1202	Insubria	L-07	Ingegneria per la Sicurezza del Lavoro e dell'Ambiente	VARESE	12	M	52
6898	2021	101	Torino	LM-14	Letteratura, Filologia e Linguistica Italiana	TORINO	1	F	52
6899	2021	102	Torino Politecnico	L-07	Ingegneria Civile	TORINO	1	M	52
6900	2020	8001	Reggio Calabria	L-33	Scienze Economiche	REGGIO DI CALABRIA	80	F	52
6901	2020	8003	Reggio Calabria - Dante Alighieri	L-39	Mediatori per l'Intercultura e la Coesione Sociale in Europa	REGGIO DI CALABRIA	80	F	52
6902	2020	8201	Palermo	L-09	Ingegneria dell'Energia	PALERMO	82	M	52
6903	2020	8201	Palermo	L-04	Disegno Industriale	PALERMO	82	F	52
6904	2020	8701	Catania	L-15	Formazione di Operatori Turistici	CATANIA	87	F	52
6905	2020	8701	Catania	LM-37	Lingue e Letterature Comparate	CATANIA	87	F	52
6906	2020	7801	Calabria	L-08	Ingegneria Gestionale	RENDE	78	M	52
6907	2020	7501	Salento	L-08	Ingegneria dell'Informazione	LECCE	75	M	52
6908	2020	6303	Napoli L'Orientale	L-36	Scienze Politiche e Relazioni Internazionali	NAPOLI	63	M	52
6909	2020	6501	Salerno	LM-37	Lingue e Letterature Moderne	FISCIANO	65	F	52
6910	2020	6901	Chieti e Pescara	L-24	Scienze e Tecniche Psicologiche	CHIETI	69	M	52
6911	2020	7001	Molise	L-22	Scienze Motorie e Sportive	CAMPOBASSO	70	F	52
6912	2020	6301	Napoli Federico II	LM-70	Scienze e Tecnologie Alimentari	PORTICI	63	F	52
6913	2021	5401	Perugia	L-22	Scienze Motorie e Sportive	PERUGIA	54	F	52
6914	2021	5401	Perugia	L-13	Scienze Biologiche	PERUGIA	54	F	52
6915	2021	5601	Tuscia	L-02	Biotecnologie	VITERBO	56	F	52
6916	2021	5801	Roma La Sapienza	LM/SNT1	Scienze Infermieristiche e Ostetriche	ROMA	58	F	52
6917	2021	5805	Roma LUISS	LM-62	Governo e Politiche	ROMA	58	M	52
6918	2021	5801	Roma La Sapienza	LM-41	Medicina e Chirurgia	ROMA	58	M	52
6919	2021	5802	Roma Tor Vergata	L-09	Ingegneria Gestionale	ROMA	58	M	52
6920	2021	5807	Roma Tre	LM-33	Ingegneria Meccanica	ROMA	58	M	52
6921	2021	5808	Roma Biomedico	LM-61	Scienze dell'Alimentazione e della Nutrizione Umana	ROMA	58	F	52
6922	2021	5814	Roma  Mercatorum - telematica	L-12	LINGUE E MERCATI	ROMA	58	F	52
6923	2021	4301	Macerata	LM-37	Lingue, Culture e Traduzione Letteraria	MACERATA	43	F	52
6924	2021	4801	Firenze	L-08	Ingegneria Informatica	FIRENZE	48	M	52
6925	2021	4801	Firenze	LM-13	Farmacia	FIRENZE	48	F	52
6926	2021	4801	Firenze	L-33	Economia e Commercio	FIRENZE	48	F	52
6927	2021	5001	Pisa	L-36	Scienze Politiche	PISA	50	F	52
6928	2021	5001	Pisa	L-09	Ingegneria dell'Energia	PISA	50	M	52
6929	2021	5001	Pisa	L-14	Diritto dell'Impresa, del Lavoro e delle Pubbliche Amministrazioni	PISA	50	F	52
6930	2021	3701	Bologna	LM-77	Economia e Management	FORLI'	40	F	52
6931	2021	3701	Bologna	LM-77	Economia e Management	FORLI'	40	M	52
6932	2021	3701	Bologna	LM-92	Semiotica	BOLOGNA	37	F	52
6933	2021	3701	Bologna	L-08	Ingegneria e Scienze Informatiche	CESENA	40	M	52
6934	2021	3701	Bologna	LM-15	Filologia, Letteratura e Tradizione Classica	BOLOGNA	37	F	52
6935	2021	3601	Modena e Reggio Emilia	LM-77	Direzione e Consulenza di Impresa	MODENA	36	F	52
6936	2021	6301	Napoli Federico II	LM-77	Innovation And International Management	NAPOLI	63	F	52
6937	2021	6301	Napoli Federico II	LM-63	Scienze della Pubblica Amministrazione	NAPOLI	63	F	52
6938	2021	6501	Salerno	LM-13	Farmacia	FISCIANO	65	F	52
6939	2021	7201	Bari	L-18	Economia Aziendale	BARI	72	F	52
6940	2021	6601	L'Aquila	L-19	Scienze della Formazione e del Servizio Sociale	L'AQUILA	66	F	52
6941	2021	9201	Cagliari	L-10	Lettere	CAGLIARI	92	F	52
6942	2021	9001	Sassari	L-39	Servizio Sociale	SASSARI	90	F	52
6943	2021	8601	Enna KORE	L-24	Scienze e Tecniche Psicologiche	ENNA	86	F	52
6944	2021	7801	Calabria	LM-13	Chimica e Tecnologia Farmaceutiche	RENDE	78	F	52
6945	2021	7801	Calabria	L-15	Scienze Turistiche	RENDE	78	F	52
6946	2021	8003	Reggio Calabria - Dante Alighieri	L-39	Mediatori per l'Intercultura e la Coesione Sociale in Europa	REGGIO DI CALABRIA	80	F	52
6947	2019	201	Piemonte Orientale	LM-77	Management e Finanza	NOVARA	3	M	52
6948	2019	201	Piemonte Orientale	LMG/01	Giurisprudenza	ALESSANDRIA	6	F	52
6949	2019	1501	Milano	LM-78	Scienze Filosofiche	MILANO	15	F	52
6950	2019	1501	Milano	L-29	Scienze e Tecnologie Erboristiche	MILANO	15	F	52
6951	2019	1501	Milano	L-30	Fisica	MILANO	15	F	52
6952	2018	9001	Sassari	LM-77	Economia Aziendale	SASSARI	90	F	52
6953	2019	102	Torino Politecnico	L-09	Ingegneria dei Materiali	TORINO	1	M	52
6954	2019	102	Torino Politecnico	L-08	Ingegneria Gestionale	TORINO	1	F	52
6955	2019	101	Torino	LM-68	Scienze e Tecniche Avanzate dello Sport	TORINO	1	M	52
6956	2019	101	Torino	LM-77	Finanza Aziendale e Mercati Finanziari	TORINO	1	F	52
6957	2019	101	Torino	LM-14	Letteratura, Filologia e Linguistica Italiana	TORINO	1	F	52
6958	2019	1503	Milano Bocconi	LM-77	Economia e Legislazione per l'Impresa	MILANO	15	M	52
6959	2019	1801	Pavia	L-22	Scienze Motorie	PAVIA	18	M	52
6960	2019	1509	Milano Bicocca	L-16	Scienze dell'Organizzazione	MILANO	15	M	52
6961	2018	6601	L'Aquila	L-18	Economia e Amministrazione delle Imprese	L'AQUILA	66	F	52
6962	2018	6601	L'Aquila	L-13	Scienze Biologiche	L'AQUILA	66	F	52
6963	2018	7101	Foggia	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	FOGGIA	71	F	52
6964	2018	6901	Chieti e Pescara	LM-14	Filologia, Linguistica e Tradizioni Letterarie	CHIETI	69	F	52
6965	2018	6306	Napoli Vanvitelli	L-16	Scienze Politiche	CASERTA	61	M	52
6966	2018	6307	Napoli Pegaso - telematica	LM-47	Management dello Sport e delle Attività Motorie	NAPOLI	63	F	52
6967	2018	6301	Napoli Federico II	LM-29	Ingegneria Elettronica	NAPOLI	63	M	52
6968	2018	7801	Calabria	LM-77	Economia Aziendale e Management	RENDE	78	M	52
6969	2018	7801	Calabria	LM-61	Scienza della Nutrizione	RENDE	78	F	52
6970	2018	7801	Calabria	LM-13	Chimica e Tecnologia Farmaceutiche	RENDE	78	F	52
6971	2018	7501	Salento	LM-77	Management Aziendale	LECCE	75	M	52
6972	2018	7201	Bari	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	BRINDISI	74	F	52
6973	2018	8201	Palermo	L-09	Ingegneria dell'Energia	PALERMO	82	M	52
6974	2018	8201	Palermo	L-15	Scienze del Turismo	PALERMO	82	F	52
6975	2018	7901	Catanzaro	LM-41	Medicina e Chirurgia	CATANZARO	79	M	52
6976	2018	8001	Reggio Calabria	L-08	Ingegneria dell'Informazione	REGGIO DI CALABRIA	80	M	52
6977	2018	2801	Padova	L-42	Storia	PADOVA	28	M	52
6978	2018	2801	Padova	LM-29	Ingegneria Elettronica	PADOVA	28	M	52
6979	2018	2801	Padova	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	MONTECCHIO PRECALCINO	24	F	52
6980	2018	2702	Venezia Iuav	L-04	Disegno Industriale e Multimedia	VENEZIA	27	F	52
6981	2018	2701	Venezia Cà Foscari	L-12	Mediazione Linguistica e Culturale	TREVISO	26	F	52
6982	2018	1509	Milano Bicocca	L-19	Scienze dell'Educazione	MILANO	15	M	52
6983	2018	102	Torino Politecnico	LM-04	Architettura (Sostenibilità)	TORINO	1	M	52
6984	2018	101	Torino	L-36	Scienze Politiche e Sociali	TORINO	1	M	52
6985	2018	101	Torino	LM-52	Scienze Internazionali	TORINO	1	M	52
6986	2018	102	Torino Politecnico	L-08	Ingegneria Gestionale	TORINO	1	F	52
6987	2018	102	Torino Politecnico	L-08	Ingegneria Gestionale	TORINO	1	M	52
6988	2018	1501	Milano	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	MILANO	15	M	52
6989	2018	1202	Insubria	LM-41	Medicina e Chirurgia	VARESE	12	M	52
6990	2018	1502	Milano Politecnico	LM-35	Ingegneria per l'Ambiente e il Territorio - Environmental And Land Planning Engineering	MILANO	15	F	52
6991	2018	1502	Milano Politecnico	LM-30	Energy Engineering - Ingegneria Energetica	MILANO	15	F	52
6992	2018	1502	Milano Politecnico	L-07	Ingegneria Civile	MILANO	15	F	52
6993	2018	3401	Parma	LM-77	International Business And Development - Economia Internazionale e dello Sviluppo	PARMA	34	F	52
6994	2018	3401	Parma	LM-51	Psicologia dell'Intervento Clinico e Sociale	PARMA	34	F	52
6995	2018	3701	Bologna	LM-13	Farmacia	BOLOGNA	37	F	52
6996	2018	3701	Bologna	LM-31	Ingegneria Gestionale	BOLOGNA	37	F	52
6997	2018	3701	Bologna	LM-77	Direzione Aziendale	BOLOGNA	37	F	52
6998	2018	3701	Bologna	L-25	Economia e Marketing Nel Sistema Agro-Industriale	BOLOGNA	37	M	52
6999	2018	4801	Firenze	L-25	Scienze Agrarie	FIRENZE	48	M	52
7000	2018	4101	Urbino	L-10	Scienze Umanistiche. Discipline Letterarie, Artistiche e Filosofiche.	URBINO	41	F	52
7001	2018	4201	Marche	LM-23	Ingegneria Civile	ANCONA	42	M	52
7002	2018	5801	Roma La Sapienza	L-10	Lettere Classiche	ROMA	58	F	52
7003	2018	5801	Roma La Sapienza	L-03	Arti e Scienze dello Spettacolo	ROMA	58	M	52
7004	2018	5401	Perugia	LM-61	Scienze della Alimentazione e della Nutrizione Umana	PERUGIA	54	F	52
7005	2019	7201	Bari	L-10	Lettere	BARI	72	M	52
7006	2019	7101	Foggia	LM-77	Economia Aziendale	FOGGIA	71	F	52
7007	2019	7501	Salento	L-33	Economia e Finanza	LECCE	75	F	52
7008	2019	7202	Bari Politecnico	LM-24	Ingegneria dei Sistemi Edilizi	BARI	72	M	52
7009	2019	7801	Calabria	L-31	Informatica	RENDE	78	M	52
7010	2019	7801	Calabria	L-29	Scienza della Nutrizione	RENDE	78	F	52
7011	2019	8201	Palermo	L-09	Ingegneria Gestionale	PALERMO	82	F	52
7012	2019	8201	Palermo	L-05	Studi Filosofici e Storici	PALERMO	82	M	52
7013	2019	8201	Palermo	L-25	Scienze e Tecnologie Agrarie	PALERMO	82	M	52
7014	2019	5807	Roma Tre	LM-33	Ingegneria Meccanica	ROMA	58	M	52
7015	2019	5810	Roma Marconi - telematica	LM-14	Filologia e Letterature Moderne	ROMA	58	F	52
7016	2019	6301	Napoli Federico II	L-26	Tecnologie Alimentari	PORTICI	63	M	52
7017	2019	6303	Napoli L'Orientale	L-11	Lingue, Lettere e Culture Comparate	NAPOLI	63	F	52
7018	2019	6301	Napoli Federico II	LM-56	Economia e Commercio	NAPOLI	63	F	52
7019	2019	6501	Salerno	LM-31	Ingegneria Gestionale	FISCIANO	65	F	52
7020	2019	5802	Roma Tor Vergata	L-10	Lettere	ROMA	58	F	52
7021	2019	5802	Roma Tor Vergata	L-09	Ingegneria Medica	ROMA	58	F	52
7022	2019	5802	Roma Tor Vergata	LM-56	Economia dei Mercati e degli Intermediari Finanziari	ROMA	58	F	52
7023	2019	5802	Roma Tor Vergata	LM-06	Biologia Cellulare e Molecolare e Scienze Biomediche	ROMA	58	F	52
7024	2019	5401	Perugia	L-39	Servizio Sociale	PERUGIA	54	F	52
7025	2019	4801	Firenze	LM-06	Biologia	FIRENZE	48	F	52
7026	2019	4801	Firenze	LM-14	Filologia Moderna	FIRENZE	48	F	52
7027	2019	3701	Bologna	L-31	Informatica	BOLOGNA	37	M	52
7028	2019	4801	Firenze	L-08	Ingegneria Informatica	FIRENZE	48	M	52
7029	2019	4301	Macerata	LM-37	Lingue, Culture e Traduzione Letteraria	MACERATA	43	F	52
7030	2019	3601	Modena e Reggio Emilia	LM-77	International Management - Management Internazionale	MODENA	36	F	52
7031	2019	3201	Trieste	LM-13	Farmacia	TRIESTE	32	F	52
7032	2019	3201	Trieste	L-18	Economia e Gestione Aziendale	TRIESTE	32	F	52
7033	2020	102	Torino Politecnico	LM-23	Ingegneria Civile	TORINO	1	F	52
7034	2020	1001	Genova	L-20	Scienze della Comunicazione	SAVONA	9	F	52
7035	2020	1301	Novedrate e-Campus - telematica	L-36	Scienze Politiche e Sociali	NOVEDRATE	13	F	52
7036	2020	1001	Genova	LM-85	Pedagogia, Progettazione e Ricerca Educativa	GENOVA	10	F	52
7037	2020	101	Torino	L-22	Scienze delle Attività Motorie e Sportive	ASTI	5	M	52
7038	2020	101	Torino	LM-70	Scienze Viticole ed Enologiche	ASTI	5	M	52
7039	2020	101	Torino	LM-77	Finanza Aziendale e Mercati Finanziari	TORINO	1	F	52
7040	2019	8701	Catania	L-08	Ingegneria Elettronica	CATANIA	87	M	52
7041	2020	1502	Milano Politecnico	LM-24	Building And Architectural Engineering	MILANO	15	M	52
7042	2020	1502	Milano Politecnico	LM-04cu	Ingegneria Edile-Architettura	LECCO	97	M	52
7043	2020	1502	Milano Politecnico	L-09	Ingegneria dei Materiali e delle Nanotecnologie	MILANO	15	F	52
7044	2020	1502	Milano Politecnico	LM-44	Engineering Physics - Ingegneria Fisica	MILANO	15	M	52
7045	2020	1502	Milano Politecnico	LM-30	Nuclear Engineering - Ingegneria Nucleare	MILANO	15	M	52
7046	2020	1504	Milano Cattolica	LM-52	Politiche Europee ed Internazionali	MILANO	15	M	52
7047	2020	1505	Milano IULM	L-20	Comunicazione, Media e Pubblicita	MILANO	15	M	52
7048	2020	1509	Milano Bicocca	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	BERGAMO	16	F	52
7049	2020	1801	Pavia	L-33	Economia	PAVIA	18	M	52
7050	2020	1801	Pavia	LM-77	Economia e Gestione delle Imprese	PAVIA	18	M	52
7051	2020	2801	Padova	L-20	Comunicazione	PADOVA	28	M	52
7052	2020	2702	Venezia Iuav	L-04	Disegno Industriale e Multimedia	VENEZIA	27	M	52
7053	2020	5001	Pisa	L-03	Discipline dello Spettacolo e della Comunicazione	PISA	50	F	52
7054	2020	4801	Firenze	L-08	Ingegneria Elettronica e delle Telecomunicazioni	FIRENZE	48	M	52
7055	2020	5801	Roma La Sapienza	L-24	Psicologia e Salute	ROMA	58	M	52
7056	2020	3701	Bologna	LM-25	Automation Engineering / Ingegneria dell'Automazione	BOLOGNA	37	M	52
7057	2020	3701	Bologna	LM-78	Scienze Filosofiche	BOLOGNA	37	M	52
7058	2020	3701	Bologna	LM-77	Amministrazione e Gestione d'Impresa	RIMINI	99	F	52
7059	2020	3701	Bologna	LM-01	Antropologia Culturale ed Etnologia	BOLOGNA	37	F	51
7060	2020	4801	Firenze	L-04	Disegno Industriale	FIRENZE	48	M	51
7061	2020	3401	Parma	L-02	Biotecnologie	PARMA	34	F	51
7062	2020	5801	Roma La Sapienza	L-32	Scienze Naturali	ROMA	58	F	51
7063	2020	5801	Roma La Sapienza	L-02	Biotecnologie Agro-Industriali	ROMA	58	F	51
7064	2020	5801	Roma La Sapienza	L-09	Ingegneria Clinica	ROMA	58	M	51
7065	2020	5801	Roma La Sapienza	L-35	Matematica	ROMA	58	F	51
7066	2020	5801	Roma La Sapienza	LM-20	Ingegneria Spaziale e Astronautica	ROMA	58	M	51
7067	2020	5802	Roma Tor Vergata	LM-61	Scienze della Nutrizione Umana	ROMA	58	F	51
7068	2020	5001	Pisa	L-08	Ingegneria Elettronica	PISA	50	M	51
7069	2020	5001	Pisa	L-29	Scienze dei Prodotti Erboristici e della Salute	PISA	50	F	51
7070	2020	5202	Siena Stranieri	L-12	Mediazione Linguistica e Culturale	SIENA	52	M	51
7071	2020	2701	Venezia Cà Foscari	LM-56	Economia e Finanza	VENEZIA	27	F	51
7072	2020	2301	Verona	L-10	Lettere	VERONA	23	F	51
7073	2020	2801	Padova	L-09	Ingegneria Biomedica	PADOVA	28	F	51
7074	2020	2801	Padova	L-25	Tecnologie Forestali e Ambientali	LEGNARO	28	M	51
7075	2020	2801	Padova	L-03	Discipline delle Arti, della Musica e dello Spettacolo	PADOVA	28	F	51
7076	2020	2801	Padova	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	CONEGLIANO	26	F	51
7077	2020	2801	Padova	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	PADOVA	28	F	51
7078	2020	1701	Brescia	L-14	Consulente del Lavoro e Giurista d'Impresa	BRESCIA	17	F	51
7079	2020	1504	Milano Cattolica	LM-51	Psicologia per il Benessere: Empowerment, Riabilitazione e Tecnologia Positiva	MILANO	15	F	51
7080	2020	1601	Bergamo	L-08	Ingegneria Informatica	DALMINE	16	M	51
7081	2020	1502	Milano Politecnico	LM-30	Energy Engineering - Ingegneria Energetica	MILANO	15	F	51
7082	2020	1503	Milano Bocconi	L-33	Economics, Management And Computer Science	MILANO	15	M	51
7083	2020	1502	Milano Politecnico	L-04	Design degli Interni	MILANO	15	M	51
7084	2020	101	Torino	L-02	Biotecnologie	TORINO	1	F	51
7085	2020	1001	Genova	L-08	Ingegneria Informatica	GENOVA	10	M	51
7086	2020	102	Torino Politecnico	L-09	Ingegneria della Produzione Industriale	TORINO	1	F	51
7087	2020	102	Torino Politecnico	L-35	Matematica per l'Ingegneria	TORINO	1	M	51
7088	2019	3201	Trieste	L-09	Ingegneria Industriale	TRIESTE	32	M	51
7089	2019	4301	Macerata	LMG/01	Giurisprudenza	MACERATA	43	M	51
7090	2019	4201	Marche	L-08	Ingegneria Biomedica	ANCONA	42	M	51
7091	2019	4201	Marche	L-13	Scienze Biologiche	ANCONA	42	M	51
7092	2019	4201	Marche	LM-06	Biologia Molecolare e Applicata	ANCONA	42	F	51
7093	2019	3701	Bologna	L-33	Economics And Finance / Economia e Finanza	BOLOGNA	37	M	51
7094	2019	3701	Bologna	LM-25	Automation Engineering / Ingegneria dell'Automazione	BOLOGNA	37	M	51
7095	2019	5001	Pisa	L-25	Scienze Agrarie	PISA	50	M	51
7096	2019	5001	Pisa	LM-31	Ingegneria Gestionale	PISA	50	M	51
7097	2019	5801	Roma La Sapienza	LM-87	Progettazione Gestione e Valutazione dei Servizi Sociali	ROMA	58	F	51
7098	2019	5801	Roma La Sapienza	LM-52	Relazioni Internazionali	ROMA	58	M	51
7099	2019	5801	Roma La Sapienza	LM-41	Medicina e Chirurgia 'A'	ROMA	58	F	51
7100	2019	5801	Roma La Sapienza	L-09	Ingegneria Clinica	ROMA	58	M	51
7101	2019	6303	Napoli L'Orientale	LM-94	Traduzione Specialistica	NAPOLI	63	F	51
7102	2019	6306	Napoli Vanvitelli	LM-56	Economia, Finanza e Mercati	CAPUA	61	M	51
7103	2019	6306	Napoli Vanvitelli	LM-04cu	Architettura	AVERSA	61	M	51
7104	2019	6301	Napoli Federico II	L-40	Sociologia	NAPOLI	63	F	51
7105	2019	6001	Cassino	L-11	Lingue e Letterature Moderne	CASSINO	60	F	51
7106	2019	5812	Roma Europea	LM-51	Psicologia	ROMA	58	F	51
7107	2019	5808	Roma Biomedico	LM-41	Medicina e Chirurgia	ROMA	58	F	51
7108	2019	5807	Roma Tre	LM-85	Scienze Pedagogiche e Scienze dell'Educazione degli Adulti e della Formazione Continua	ROMA	58	F	51
7109	2019	7801	Calabria	LM-13	Farmacia	RENDE	78	F	51
7110	2019	7201	Bari	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	LECCE	75	F	51
7111	2018	5801	Roma La Sapienza	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	POZZILLI	94	F	51
7112	2018	5801	Roma La Sapienza	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	BRACCIANO	58	F	51
7113	2018	5001	Pisa	L-09	Ingegneria Meccanica	PISA	50	M	51
7114	2018	5001	Pisa	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	PISA	50	M	51
7115	2018	5802	Roma Tor Vergata	LM-37	Lingue e Letterature Europee e Americane	ROMA	58	F	51
7116	2018	5802	Roma Tor Vergata	LM-31	Ingegneria Gestionale	ROMA	58	M	51
7117	2018	5807	Roma Tre	L-17	Scienze dell'Architettura	ROMA	58	M	51
7118	2018	4101	Urbino	L-13	Scienze Biologiche	URBINO	41	F	51
7119	2018	4801	Firenze	L-42	Storia	FIRENZE	48	M	51
7120	2018	3701	Bologna	L-18	Business And Economics/Economia e Gestione di Impresa	BOLOGNA	37	F	51
7121	2018	3701	Bologna	L-33	Economics And Finance / Economia e Finanza	BOLOGNA	37	M	51
7122	2018	3401	Parma	L-07	Ingegneria Civile e Ambientale	PARMA	34	M	51
7123	2018	1502	Milano Politecnico	LM-04	Architettura-Architettura delle Costruzioni	MILANO	15	F	51
7124	2018	1502	Milano Politecnico	L-09	Ingegneria Matematica	MILANO	15	M	51
7125	2018	1503	Milano Bocconi	L-18	Economia e Management per Arte, Cultura e Comunicazione	MILANO	15	M	51
7126	2018	1503	Milano Bocconi	LM-56	Discipline Economiche e Sociali - Economic And Social Sciences	MILANO	15	F	51
7127	2018	1501	Milano	L-14	Scienze dei Servizi Giuridici	MILANO	15	M	51
7128	2018	101	Torino	L-36	Scienze Politiche e Sociali	TORINO	1	F	51
7129	2018	1001	Genova	L-20	Scienze della Comunicazione	SAVONA	9	F	51
7130	2018	1001	Genova	L-14	Giurista dell'Impresa e dell'Amministrazione	GENOVA	10	F	51
7131	2018	1001	Genova	L-10	Lettere	GENOVA	10	F	51
7132	2018	1504	Milano Cattolica	LM-56	Economia	MILANO	15	M	51
7133	2018	2201	Trento	L-07	Ingegneria per l'Ambiente e il Territorio	TRENTO	22	M	51
7134	2018	2201	Trento	LM-77	Management	TRENTO	22	F	51
7135	2018	2801	Padova	L-01	Storia e Tutela dei Beni Artistici e Musicali	PADOVA	28	F	51
7136	2018	2801	Padova	LM-14	Filologia Moderna	PADOVA	28	F	51
7137	2018	2801	Padova	LM-77	Business Administration - Economia e Direzione Aziendale	PADOVA	28	F	51
7138	2018	8201	Palermo	L-09	Ingegneria Gestionale	PALERMO	82	F	51
7139	2018	8301	Messina	L-11	Lingue, Letterature Straniere e Tecniche della Mediazione Linguistica	MESSINA	83	F	51
7140	2018	7201	Bari	L-18	Economia e Amministrazione delle Aziende	TARANTO	73	M	51
7141	2018	7201	Bari	L-25	Scienze e Tecnologie Agrarie	BARI	72	M	51
7142	2018	7501	Salento	LM-06	Biologia	LECCE	75	F	51
7143	2018	6301	Napoli Federico II	L-08	Corso di Laurea in Ingegneria dell'Automazione	NAPOLI	63	M	51
7144	2018	6302	Napoli Parthenope	L-31	Informatica	NAPOLI	63	M	51
7145	2018	6306	Napoli Vanvitelli	LM-41	Medicina e Chirurgia	CASERTA	61	M	51
7146	2018	6306	Napoli Vanvitelli	L-04	Design per la Moda	AVERSA	61	F	51
7147	2018	6601	L'Aquila	L-02	Biotecnologie	L'AQUILA	66	F	51
7148	2019	1504	Milano Cattolica	L-18	Economia e Legislazione d'Impresa	MILANO	15	M	51
7149	2019	1504	Milano Cattolica	LM-38	Scienze Linguistiche	BRESCIA	17	F	51
7150	2019	1504	Milano Cattolica	LM-77	Management	MILANO	15	F	51
7151	2019	2201	Trento	L-36	Studi Internazionali	TRENTO	22	M	51
7152	2019	2201	Trento	LM-77	Management	TRENTO	22	F	51
7153	2019	2801	Padova	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	FELTRE	25	F	51
7154	2019	101	Torino	L-33	Economia e Statistica per le Organizzazioni	TORINO	1	M	51
