_id	AnnoS	AteneoCOD	AteneoNOME	ClasseNUMERO	CorsoNOME	SedeC	SedeP	Sesso	Lau
14712	2018	2801	Padova	LM-56	Economics And Finance - Economia e Finanza	PADOVA	28	M	25
14713	2018	8701	Catania	L-29	Scienze Farmaceutiche Applicate	CATANIA	87	F	25
14714	2018	8701	Catania	L-21	Pianificazione e Tutela del Territorio e del Paesaggio	CATANIA	87	M	25
14715	2018	8701	Catania	14/S	Farmacia	CATANIA	87	F	25
14716	2018	8301	Messina	L-24	Scienze e Tecniche Psicologiche	MESSINA	83	M	25
14717	2018	8301	Messina	L-09	Ingegneria Industriale	MESSINA	83	M	25
14718	2018	8601	Enna KORE	L-24	Scienze e Tecniche Psicologiche	ENNA	86	M	25
14719	2018	8601	Enna KORE	L-07	Ingegneria Civile e Ambientale	ENNA	86	M	25
14720	2018	8201	Palermo	LM-30	Ingegneria Energetica e Nucleare	PALERMO	82	M	25
14721	2018	8201	Palermo	LM-59	Scienze della Comunicazione Pubblica, d'Impresa e Pubblicita	PALERMO	82	F	25
14722	2018	8201	Palermo	LM-59	Scienze della Comunicazione Pubblica, d'Impresa e Pubblicità	PALERMO	82	F	25
14723	2018	8201	Palermo	LMG/01	Giurisprudenza	TRAPANI	81	F	25
14724	2018	7201	Bari	LM-19	Scienze dell'Informazione Editoriale, Pubblica e Sociale	BARI	72	F	25
14725	2018	7201	Bari	L/SNT2	Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista)	BARI	72	F	25
14726	2018	7601	Basilicata	L-10	Studi Umanistici	POTENZA	76	F	25
14727	2018	7501	Salento	LM-56	Economia Finanza e Assicurazioni	LECCE	75	F	25
14728	2018	7501	Salento	LM-23	Ingegneria Civile	LECCE	75	M	25
14729	2018	7901	Catanzaro	L-08	Ingegneria Informatica e Biomedica	CATANZARO	79	F	25
14730	2018	7901	Catanzaro	L-08	Ingegneria Informatica e Biomedica	CATANZARO	79	M	25
14731	2018	6501	Salerno	L-05	Filosofia	FISCIANO	65	F	25
14732	2018	6501	Salerno	LM-88	Sociologia e Politiche per il Territorio	FISCIANO	65	F	25
14733	2018	6306	Napoli Vanvitelli	L/SNT2	Terapia della Neuro e Psicomotricità dell'Età Evolutiva (Abilitante alla Professione Sanitaria di Terapista della Neuro e Psicomotricità dell'Età Evolutiva)	NAPOLI	63	F	25
14734	2018	6306	Napoli Vanvitelli	LM-62	Scienze della Politica	CASERTA	61	M	25
14735	2018	6601	L'Aquila	LM-23	Ingegneria Civile	L'AQUILA	66	M	25
14736	2018	6601	L'Aquila	L-13	Scienze Biologiche	L'AQUILA	66	M	25
14737	2018	6901	Chieti e Pescara	L/SNT2	Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista)	CHIETI	69	M	25
14738	2018	6701	Teramo	L-26	Scienze e Tecnologie Alimentari	MOSCIANO SANT'ANGELO	67	M	25
14739	2018	7101	Foggia	L-22	Scienze delle Attivita' Motorie e Sportive	FOGGIA	71	F	25
14740	2018	6901	Chieti e Pescara	LM-88	Ricerca Sociale, Politiche della Sicurezza e Criminalita	CHIETI	69	F	25
14741	2018	6901	Chieti e Pescara	LM-13	Chimica e Tecnologia Farmaceutiche	CHIETI	69	M	25
14742	2018	6901	Chieti e Pescara	L-33	Economia, Mercati e Sviluppo	PESCARA	68	F	25
14743	2018	6001	Cassino	L-08	Ingegneria Informatica e delle Telecomunicazioni	CASSINO	60	M	25
14744	2018	6201	Sannio	L-18	Economia dei Servizi	BENEVENTO	62	F	25
14745	2018	5809	Roma UNINT	L-12	Lingue per l'Interpretariato e la Traduzione	ROMA	58	M	25
